codigo,cuenta,tipo
1,"Activos",Agrupador
1.1,"Activo Corriente",Agrupador
1.1.1,"Efectivo y Equivalentes a Efectivo",Agrupador
1.1.1.1,"Caja",Caja
1.1.1.2,"Caja Chica",Caja Chica
1.1.1.3,"Banco Pichincha",Banco
1.1.1.4,"Fondo Rotativo",Caja
1.1.2,"Activos Financieros",Agrupador
1.1.2.1,"Activos Financieros con cambios en resultados",Activos Financieros con Cambios en Resultados
1.1.2.2,"Activos Financieros Disponibles para la Venta",Activos Financieros disponibles para la Venta
1.1.2.3,"Activos Financieros mantenidos hasta el vencimiento",Activos Financieros mantenidos hasta el Vencimiento
1.1.2.4,"(-) Provisión por Deterioro",(-) Provisión por Deterioro
1.1.2.5,"Cuentas por Cobrar",Agrupador
1.1.2.5.1,"Clientes Comerciales",Cuenta por Cobrar
1.1.2.5.2,"Clientes Comerciales Exterior",Cuenta por Cobrar del Exterior
1.1.2.5.3,"Socios o Accionistas",Cuenta por Cobrar Relacionadas
1.1.2.5.4,"Funcionarios y/o Empleados",Cuenta por Cobrar Relacionadas
1.1.2.5.5,"Compañías Relacionadas",Cuenta por Cobrar Relacionadas
1.1.2.5.6,"Cheques por Cobrar",Cuenta por Cobrar
1.1.2.5.7,"Tarjeta de crédito (Cobro)",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.5.8,"Fidelizaciones Externas",Cuenta por Cobrar
1.1.2.6,"Documentos por Cobrar",Agrupador
1.1.2.6.1,"Clientes Comerciales (Documentos por Cobrar)",Documento por Cobrar
1.1.2.6.2,"Socios o Accionistas",Documento por Cobrar Relacionadas
1.1.2.6.3,"Funcionarios y/o Empleados",Documento por Cobrar Relacionadas
1.1.2.6.4,"Compañías Relacionadas",Documento por Cobrar Relacionadas
1.1.2.7,"Otras Cuentas por Cobrar",Cuenta por Cobrar
1.1.2.7.1,"SuperEasy",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.2,"Uber",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.3,"PedidosYa",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.4,"Rappi",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.5,"Picker",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.8,"Provision para Cuentas Incobrables",Cuenta por Cobrar
1.1.3,"Inventario",Agrupador
1.1.3.1,"Materia Prima",Materia Prima
1.1.3.2,"Producto en Proceso",Productos en Proceso
1.1.3.3,"Suministros o materiales a ser consumidos en el proceso de producción",Suministros o Materiales a ser Consumidos en el Proceso de Producción
1.1.3.4,"Suministros o materiales a ser consumidos en la prestación de servicios",Suministros o Materiales a ser Consumidos en la prestación de Servicios
1.1.3.5,"Productos terminados y mercadería producidos por la compañía",Productos terminados y mercadería producidos por la compañía
1.1.3.6,"Productos terminados y mercadería comprados a terceros",Productos terminados y mercadería comprados a terceros
1.1.3.7,"Mercaderías en Transito",Mercaderías en Transito
1.1.3.8,"Obras en Construcción",Obras en Construcción
1.1.3.9,"Inventarios repuestos, herramientas y accesorios",Inventarios, repuestos, herramientas y accesorios
1.1.3.10,"Otros Inventarios",Otros Inventarios
1.1.3.11,"(-) Provisión de Inventarios por valor neto de realización",(-) Provision de Inventarios por valor neto de realización
1.1.3.12,"(-) Provisión de Inventarios por deterioro",(-) Provision de Inventarios por deterioro
1.1.4,"Servicios y otros Pagos Anticipados",Agrupador
1.1.4.1,"Seguros",Seguros pagados por Anticipado
1.1.4.2,"Garantía de arriendo",Arriendos Pagados por Anticipado
1.1.4.3,"Anticipo a Proveedores",Anticipo Proveedores
1.1.4.4,"Otros Anticipos Entregados",Otros Anticipos Entregados
1.1.5,"Activos por Impuestos Corrientes",Agrupador
1.1.5.1,"IVA sobre Compras",Agrupador
1.1.5.1.1,"IVA sobre Compras",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2,"Retenciones del IVA",Agrupador
1.1.5.2.1,"30% Bienes",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.2,"70% Servicios",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.3,"100% Honorarios, Arrendamientos, Personas Naturales",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.4,"100% Exportadores",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.5,"10% Bienes (Contribuyentes Especiales)",Credito Tributario a favor de la Empresa (IVA)
